| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | G | 9488 | 47137 | 568.621 | 742.589 | 7 |
| 2 | G | 9512 | 47337 | 575.849 | 745.740 | 7 |
| 3 | G | 9553 | 47643 | 588.198 | 750.560 | 7 |
| 4 | G | 9585 | 49687 | 597.835 | 782.761 | 7 |
| 5 | G | 9554 | 50639 | 588.499 | 797.759 | 7 |
| 6 | G | 9506 | 49877 | 574.042 | 785.755 | 7 |
| 7 | G | 9547 | 51385 | 586.391 | 809.511 | 7 |
| 8 | G | 9462 | 50387 | 560.791 | 793.789 | 7 |
| 9 | G | 9545 | 48038 | 585.788 | 756.783 | 7 |
| 10 | G | 9542 | 48244 | 584.885 | 760.029 | 7 |
| 11 | G | 9468 | 50610 | 562.598 | 797.302 | 7 |
| 12 | G | 9550 | 51505 | 587.294 | 811.402 | 7 |
| 13 | G | 9557 | 48560 | 589.402 | 765.007 | 7 |
| 14 | G | 9544 | 50990 | 585.487 | 803.289 | 7 |
| 15 | G | 9562 | 52057 | 590.908 | 820.098 | 7 |
| 16 | G | 9572 | 49965 | 593.920 | 787.141 | 7 |
| 17 | G | 9507 | 49104 | 574.344 | 773.577 | 7 |
| 18 | G | 9473 | 48826 | 564.104 | 769.197 | 7 |
| 19 | G | 9509 | 50424 | 574.946 | 794.372 | 7 |
| 20 | G | 9565 | 48838 | 591.812 | 769.386 | 7 |
Cluster likely to be: 7 | 20 matches 
