| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | A | 8522 | 19074 | 277.685 | 300.489 | 21 |
| 2 | A | 8704 | 24975 | 332.499 | 393.452 | 0 |
| 3 | A | 8577 | 24688 | 294.249 | 388.931 | 0 |
| 4 | A | 8775 | 23325 | 353.882 | 367.458 | 0 |
| 5 | A | 8410 | 24990 | 243.953 | 393.689 | 9 |
| 6 | A | 8588 | 19299 | 297.562 | 304.033 | 21 |
| 7 | A | 8755 | 19586 | 347.859 | 308.555 | 21 |
| 8 | A | 8417 | 20329 | 246.061 | 320.260 | 21 |
| 9 | A | 8444 | 26125 | 254.193 | 411.569 | 9 |
| 10 | A | 8445 | 23319 | 254.494 | 367.364 | 9 |
| 11 | A | 8548 | 26497 | 285.515 | 417.430 | 9 |
| 12 | A | 8776 | 24926 | 354.184 | 392.680 | 0 |
| 13 | A | 8603 | 26136 | 302.080 | 411.743 | 9 |
| 14 | A | 8777 | 22296 | 354.485 | 351.248 | 0 |
| 15 | A | 8499 | 24135 | 270.758 | 380.219 | 9 |
| 16 | A | 8521 | 23020 | 277.384 | 362.654 | 9 |
| 17 | A | 8678 | 19459 | 324.668 | 306.554 | 21 |
| 18 | A | 8567 | 25512 | 291.238 | 401.912 | 9 |
| 19 | A | 8640 | 21081 | 313.224 | 332.107 | 21 |
| 20 | A | 8425 | 19473 | 248.471 | 306.775 | 21 |
Cluster likely to be: 9 | 8 matches 
