| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | V | 8836 | 18326 | 372.254 | 288.705 | 0 |
| 2 | V | 8654 | 15559 | 317.440 | 245.114 | 21 |
| 3 | V | 8677 | 17913 | 324.367 | 282.199 | 21 |
| 4 | V | 8639 | 13786 | 312.922 | 217.183 | 21 |
| 5 | V | 8993 | 12797 | 419.539 | 201.602 | 8 |
| 6 | V | 8547 | 15598 | 285.214 | 245.728 | 21 |
| 7 | V | 8596 | 14351 | 299.972 | 226.083 | 21 |
| 8 | V | 8678 | 13112 | 324.668 | 206.564 | 21 |
| 9 | V | 8785 | 17182 | 356.894 | 270.683 | 21 |
| 10 | V | 8584 | 16974 | 296.358 | 267.406 | 21 |
| 11 | V | 8784 | 12602 | 356.593 | 198.530 | 21 |
| 12 | V | 8652 | 12592 | 316.838 | 198.372 | 21 |
| 13 | V | 8880 | 13768 | 385.506 | 216.899 | 21 |
| 14 | V | 8780 | 15390 | 355.388 | 242.452 | 21 |
| 15 | V | 8557 | 13022 | 288.226 | 205.147 | 21 |
| 16 | V | 8984 | 13212 | 416.828 | 208.140 | 8 |
| 17 | V | 8810 | 14095 | 364.424 | 222.050 | 21 |
| 18 | V | 8921 | 19419 | 397.854 | 305.924 | 0 |
| 19 | V | 8788 | 11733 | 357.798 | 184.840 | 21 |
| 20 | V | 8631 | 16473 | 310.513 | 259.513 | 21 |
Cluster likely to be: 21 | 16 matches 
