| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | I | 9492 | 12056 | 569.826 | 189.928 | 16 |
| 2 | I | 9703 | 11910 | 633.374 | 187.628 | 16 |
| 3 | I | 9372 | 13271 | 533.685 | 209.069 | 16 |
| 4 | I | 9275 | 14015 | 504.471 | 220.790 | 16 |
| 5 | I | 9203 | 15335 | 482.786 | 241.585 | 8 |
| 6 | I | 9698 | 14850 | 631.868 | 233.945 | 16 |
| 7 | I | 9220 | 11825 | 487.906 | 186.289 | 8 |
| 8 | I | 9258 | 11361 | 499.351 | 178.979 | 8 |
| 9 | I | 9667 | 13361 | 622.532 | 210.487 | 16 |
| 10 | I | 9384 | 14155 | 537.299 | 222.996 | 8 |
| 11 | I | 9089 | 12971 | 448.452 | 204.343 | 8 |
| 12 | I | 9166 | 13813 | 471.642 | 217.608 | 8 |
| 13 | I | 9081 | 11098 | 446.042 | 174.836 | 8 |
| 14 | I | 9613 | 10969 | 606.268 | 172.804 | 16 |
| 15 | I | 9462 | 12745 | 560.791 | 200.783 | 16 |
| 16 | I | 9238 | 10743 | 493.327 | 169.244 | 8 |
| 17 | I | 9518 | 12413 | 577.656 | 195.552 | 16 |
| 18 | I | 9270 | 14907 | 502.965 | 234.843 | 8 |
| 19 | I | 9560 | 14953 | 590.306 | 235.567 | 16 |
| 20 | I | 9107 | 11500 | 453.873 | 181.169 | 8 |
Cluster likely to be: 8, 16 | 10 matches 
