| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | ENTER | 8818 | 4925 | 366.833 | 77.588 | 2 |
| 2 | ENTER | 8876 | 4407 | 384.301 | 69.427 | 2 |
| 3 | ENTER | 8831 | 3988 | 370.748 | 62.826 | 2 |
| 4 | ENTER | 8840 | 7595 | 373.459 | 119.650 | 2 |
| 5 | ENTER | 8874 | 4800 | 383.699 | 75.618 | 2 |
| 6 | ENTER | 8854 | 6842 | 377.675 | 107.788 | 2 |
| 7 | ENTER | 8829 | 3424 | 370.146 | 53.941 | 2 |
| 8 | ENTER | 8838 | 6355 | 372.856 | 100.116 | 2 |
| 9 | ENTER | 8817 | 4796 | 366.532 | 75.555 | 2 |
| 10 | ENTER | 8829 | 6340 | 370.146 | 99.879 | 2 |
| 11 | ENTER | 8821 | 7002 | 367.736 | 110.308 | 2 |
| 12 | ENTER | 8875 | 7748 | 384.000 | 122.061 | 2 |
| 13 | ENTER | 8840 | 8670 | 373.459 | 136.586 | 2 |
| 14 | ENTER | 8878 | 4309 | 384.904 | 67.883 | 2 |
| 15 | ENTER | 8827 | 6280 | 369.544 | 98.934 | 2 |
| 16 | ENTER | 8898 | 8217 | 390.927 | 129.449 | 2 |
| 17 | ENTER | 8820 | 5988 | 367.435 | 94.334 | 2 |
| 18 | ENTER | 8818 | 6521 | 366.833 | 102.731 | 2 |
| 19 | ENTER | 8885 | 6987 | 387.012 | 110.072 | 2 |
| 20 | ENTER | 8885 | 6584 | 387.012 | 103.723 | 2 |
Cluster likely to be: 2 | 20 matches 
