| Sample No | Key Pressed | Sample | Key Match | Key Match Mean Approx | Distance | RealDistance |
| --------- |
| 1 | N | 9499 | G | 9541 | 42 | 822 |
| 2 | N | 7538 | N | 8677 | 1139 | 1139 |
| 3 | N | 8541 | N | 8677 | 136 | 136 |
| 4 | N | 7927 | N | 8677 | 750 | 750 |
| 5 | N | 8276 | N | 8677 | 401 | 401 |
| 6 | N | 9598 | G | 9541 | 57 | 921 |
| 7 | N | 8235 | N | 8677 | 442 | 442 |
| 8 | N | 8071 | N | 8677 | 606 | 606 |
| 9 | N | 9184 | L | 9188 | 4 | 507 |
| 10 | N | 8300 | N | 8677 | 377 | 377 |
| 11 | N | 9794 | K | 9886 | 92 | 1117 |
| 12 | N | 7590 | N | 8677 | 1087 | 1087 |
| 13 | N | 7737 | N | 8677 | 940 | 940 |
| 14 | N | 8686 | Y | 8693 | 7 | 9 |
| 15 | N | 7666 | N | 8677 | 1011 | 1011 |
| 16 | N | 8612 | N | 8677 | 65 | 65 |
| 17 | N | 9595 | G | 9541 | 54 | 918 |
| 18 | N | 8847 | ENTER | 8845 | 2 | 170 |
| 19 | N | 9156 | H | 9165 | 9 | 479 |
| 20 | N | 7788 | N | 8677 | 889 | 889 |
accuracy = 60.0
