| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | Y | 8722 | 46093 | 337.920 | 726.142 | 24 |
| 2 | Y | 9009 | 46261 | 424.358 | 728.789 | 1 |
| 3 | Y | 8970 | 43434 | 412.612 | 684.253 | 1 |
| 4 | Y | 8512 | 46929 | 274.673 | 739.312 | 24 |
| 5 | Y | 8571 | 45450 | 292.442 | 716.012 | 24 |
| 6 | Y | 8899 | 46848 | 391.228 | 738.036 | 24 |
| 7 | Y | 8915 | 47688 | 396.047 | 751.269 | 24 |
| 8 | Y | 8761 | 44588 | 349.666 | 702.432 | 24 |
| 9 | Y | 8846 | 44049 | 375.266 | 693.941 | 24 |
| 10 | Y | 8859 | 43625 | 379.181 | 687.262 | 24 |
| 11 | Y | 8651 | 44102 | 316.536 | 694.776 | 24 |
| 12 | Y | 8898 | 43919 | 390.927 | 691.893 | 24 |
| 13 | Y | 8688 | 47280 | 327.680 | 744.842 | 24 |
| 14 | Y | 8898 | 45030 | 390.927 | 709.396 | 24 |
| 15 | Y | 8693 | 47038 | 329.186 | 741.029 | 24 |
| 16 | Y | 8863 | 46273 | 380.386 | 728.978 | 24 |
| 17 | Y | 8857 | 45645 | 378.579 | 719.084 | 24 |
| 18 | Y | 8954 | 44454 | 407.793 | 700.321 | 1 |
| 19 | Y | 8989 | 47136 | 418.334 | 742.573 | 1 |
| 20 | Y | 8949 | 47485 | 406.287 | 748.071 | 24 |
Cluster likely to be: 24 | 16 matches 
