| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | U | 8385 | 50700 | 236.424 | 798.720 | 11 |
| 2 | U | 8757 | 52043 | 348.461 | 819.877 | 20 |
| 3 | U | 8505 | 51116 | 272.565 | 805.274 | 11 |
| 4 | U | 8776 | 55072 | 354.184 | 867.596 | 20 |
| 5 | U | 8647 | 50798 | 315.332 | 800.264 | 11 |
| 6 | U | 8601 | 51589 | 301.478 | 812.725 | 11 |
| 7 | U | 8376 | 50594 | 233.713 | 797.050 | 11 |
| 8 | U | 8577 | 50781 | 294.249 | 799.996 | 11 |
| 9 | U | 8561 | 55189 | 289.431 | 869.439 | 11 |
| 10 | U | 8415 | 54896 | 245.459 | 864.823 | 11 |
| 11 | U | 8479 | 51832 | 264.734 | 816.553 | 11 |
| 12 | U | 8544 | 54427 | 284.311 | 857.435 | 11 |
| 13 | U | 8651 | 51273 | 316.536 | 807.747 | 11 |
| 14 | U | 8546 | 56144 | 284.913 | 884.484 | 11 |
| 15 | U | 8574 | 51945 | 293.346 | 818.334 | 11 |
| 16 | U | 8538 | 56233 | 282.504 | 885.886 | 11 |
| 17 | U | 8545 | 52257 | 284.612 | 823.249 | 11 |
| 18 | U | 8752 | 55339 | 346.955 | 871.802 | 20 |
| 19 | U | 8560 | 53406 | 289.129 | 841.350 | 11 |
| 20 | U | 8703 | 52296 | 332.198 | 823.863 | 11 |
Cluster likely to be: 11 | 17 matches 
