| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | D | 8843 | 19358 | 374.362 | 304.963 | 0 |
| 2 | D | 8844 | 20536 | 374.664 | 323.521 | 0 |
| 3 | D | 8849 | 19570 | 376.169 | 308.303 | 0 |
| 4 | D | 8757 | 20271 | 348.461 | 319.346 | 0 |
| 5 | D | 8998 | 20194 | 421.045 | 318.133 | 0 |
| 6 | D | 9006 | 18291 | 423.454 | 288.154 | 0 |
| 7 | D | 8881 | 20189 | 385.807 | 318.054 | 0 |
| 8 | D | 8785 | 19731 | 356.894 | 310.839 | 0 |
| 9 | D | 8851 | 21302 | 376.772 | 335.588 | 0 |
| 10 | D | 8811 | 19036 | 364.725 | 299.890 | 0 |
| 11 | D | 8816 | 20952 | 366.231 | 330.075 | 0 |
| 12 | D | 8974 | 19406 | 413.816 | 305.719 | 0 |
| 13 | D | 8761 | 19010 | 349.666 | 299.481 | 0 |
| 14 | D | 8977 | 21285 | 414.720 | 335.321 | 0 |
| 15 | D | 8873 | 18541 | 383.398 | 292.092 | 0 |
| 16 | D | 8768 | 19381 | 351.774 | 305.325 | 0 |
| 17 | D | 8751 | 20034 | 346.654 | 315.613 | 0 |
| 18 | D | 8881 | 18066 | 385.807 | 284.609 | 0 |
| 19 | D | 8892 | 20650 | 389.120 | 325.317 | 0 |
| 20 | D | 8870 | 20336 | 382.494 | 320.370 | 0 |
Cluster likely to be: 0 | 20 matches 
