| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | H | 8994 | 46839 | 419.840 | 737.894 | 1 |
| 2 | H | 9028 | 49112 | 430.080 | 773.703 | 1 |
| 3 | H | 8964 | 50948 | 410.805 | 802.627 | 20 |
| 4 | H | 9053 | 50787 | 437.609 | 800.091 | 1 |
| 5 | H | 8793 | 47821 | 359.304 | 753.365 | 24 |
| 6 | H | 8768 | 50141 | 351.774 | 789.914 | 24 |
| 7 | H | 8764 | 48514 | 350.569 | 764.282 | 24 |
| 8 | H | 8831 | 46866 | 370.748 | 738.320 | 24 |
| 9 | H | 9222 | 47888 | 488.508 | 754.420 | 1 |
| 10 | H | 8717 | 48079 | 336.414 | 757.429 | 24 |
| 11 | H | 8801 | 47657 | 361.713 | 750.781 | 24 |
| 12 | H | 8965 | 51123 | 411.106 | 805.384 | 20 |
| 13 | H | 9112 | 51216 | 455.379 | 806.849 | 22 |
| 14 | H | 8678 | 49628 | 324.668 | 781.832 | 24 |
| 15 | H | 9103 | 50501 | 452.668 | 795.585 | 22 |
| 16 | H | 9152 | 51229 | 467.426 | 807.054 | 22 |
| 17 | H | 9028 | 47481 | 430.080 | 748.008 | 22 |
| 18 | H | 9272 | 49341 | 503.567 | 777.311 | 22 |
| 19 | H | 8777 | 48477 | 354.485 | 763.699 | 24 |
| 20 | H | 9215 | 49928 | 486.400 | 786.558 | 22 |
Cluster likely to be: 24 | 8 matches 
