| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | J | 8688 | 26018 | 327.680 | 409.884 | 9 |
| 2 | J | 8539 | 26847 | 282.805 | 422.944 | 9 |
| 3 | J | 8607 | 26542 | 303.285 | 418.139 | 9 |
| 4 | J | 8720 | 25794 | 337.318 | 406.355 | 9 |
| 5 | J | 8390 | 26439 | 237.929 | 416.516 | 9 |
| 6 | J | 8708 | 26470 | 333.704 | 417.004 | 9 |
| 7 | J | 8351 | 26928 | 226.184 | 424.220 | 9 |
| 8 | J | 8422 | 26074 | 247.567 | 410.766 | 9 |
| 9 | J | 8600 | 26494 | 301.176 | 417.382 | 9 |
| 10 | J | 8373 | 26593 | 232.809 | 418.942 | 9 |
| 11 | J | 8664 | 26147 | 320.452 | 411.916 | 9 |
| 12 | J | 8555 | 26707 | 287.624 | 420.738 | 9 |
| 13 | J | 8591 | 25801 | 298.466 | 406.465 | 9 |
| 14 | J | 8725 | 25987 | 338.824 | 409.395 | 9 |
| 15 | J | 8408 | 26162 | 243.351 | 412.152 | 9 |
| 16 | J | 8698 | 25959 | 330.692 | 408.954 | 9 |
| 17 | J | 8681 | 27014 | 325.572 | 425.574 | 9 |
| 18 | J | 8495 | 26790 | 269.553 | 422.046 | 9 |
| 19 | J | 8296 | 25705 | 209.619 | 404.953 | 9 |
| 20 | J | 8496 | 25756 | 269.854 | 405.756 | 9 |
Cluster likely to be: 9 | 20 matches 
