| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | Q | 8990 | 19019 | 418.635 | 299.622 | 0 |
| 2 | Q | 9456 | 18561 | 558.984 | 292.407 | 16 |
| 3 | Q | 9402 | 18193 | 542.720 | 286.610 | 16 |
| 4 | Q | 9021 | 17789 | 427.972 | 280.245 | 0 |
| 5 | Q | 9194 | 18549 | 480.075 | 292.218 | 8 |
| 6 | Q | 9468 | 18980 | 562.598 | 299.008 | 16 |
| 7 | Q | 9486 | 20142 | 568.019 | 317.314 | 16 |
| 8 | Q | 9109 | 19171 | 454.475 | 302.017 | 0 |
| 9 | Q | 9042 | 18444 | 434.296 | 290.564 | 0 |
| 10 | Q | 9158 | 18808 | 469.233 | 296.298 | 8 |
| 11 | Q | 9329 | 19682 | 520.734 | 310.067 | 16 |
| 12 | Q | 9382 | 19541 | 536.696 | 307.846 | 16 |
| 13 | Q | 9276 | 17316 | 504.772 | 272.794 | 8 |
| 14 | Q | 9216 | 18107 | 486.701 | 285.255 | 8 |
| 15 | Q | 9327 | 18206 | 520.132 | 286.815 | 8 |
| 16 | Q | 9455 | 20435 | 558.682 | 321.930 | 16 |
| 17 | Q | 9388 | 17882 | 538.504 | 281.710 | 16 |
| 18 | Q | 9328 | 17944 | 520.433 | 282.687 | 8 |
| 19 | Q | 9437 | 19622 | 553.261 | 309.122 | 16 |
| 20 | Q | 9072 | 18574 | 443.332 | 292.612 | 8 |
Cluster likely to be: 16 | 9 matches 
