| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | O | 9266 | 38140 | 501.760 | 600.852 | 4 |
| 2 | O | 9191 | 38612 | 479.172 | 608.288 | 4 |
| 3 | O | 9238 | 37809 | 493.327 | 595.637 | 4 |
| 4 | O | 9242 | 37287 | 494.532 | 587.414 | 4 |
| 5 | O | 9194 | 37350 | 480.075 | 588.406 | 4 |
| 6 | O | 9227 | 39618 | 490.014 | 624.136 | 4 |
| 7 | O | 9268 | 38259 | 502.362 | 602.726 | 4 |
| 8 | O | 9229 | 37599 | 490.616 | 592.329 | 4 |
| 9 | O | 9255 | 39560 | 498.447 | 623.222 | 4 |
| 10 | O | 9184 | 37274 | 477.064 | 587.209 | 4 |
| 11 | O | 9236 | 39701 | 492.725 | 625.443 | 4 |
| 12 | O | 9241 | 39099 | 494.231 | 615.960 | 4 |
| 13 | O | 9244 | 39306 | 495.134 | 619.221 | 4 |
| 14 | O | 9170 | 39823 | 472.847 | 627.365 | 4 |
| 15 | O | 9191 | 38945 | 479.172 | 613.534 | 4 |
| 16 | O | 9217 | 39086 | 487.002 | 615.755 | 4 |
| 17 | O | 9194 | 37687 | 480.075 | 593.715 | 4 |
| 18 | O | 9240 | 38293 | 493.929 | 603.262 | 4 |
| 19 | O | 9247 | 38277 | 496.038 | 603.010 | 4 |
| 20 | O | 9241 | 38484 | 494.231 | 606.271 | 4 |
Cluster likely to be: 4 | 20 matches 
