| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | W | 9176 | 52329 | 474.654 | 824.383 | 22 |
| 2 | W | 8975 | 52287 | 414.118 | 823.721 | 22 |
| 3 | W | 9005 | 55913 | 423.153 | 880.845 | 29 |
| 4 | W | 8980 | 52783 | 415.624 | 831.535 | 22 |
| 5 | W | 8915 | 53983 | 396.047 | 850.440 | 20 |
| 6 | W | 9190 | 54194 | 478.871 | 853.764 | 22 |
| 7 | W | 9100 | 56632 | 451.765 | 892.172 | 29 |
| 8 | W | 9113 | 52628 | 455.680 | 829.093 | 22 |
| 9 | W | 9116 | 52563 | 456.584 | 828.069 | 22 |
| 10 | W | 8971 | 54136 | 412.913 | 852.850 | 20 |
| 11 | W | 8937 | 51437 | 402.673 | 810.331 | 22 |
| 12 | W | 9128 | 54855 | 460.198 | 864.177 | 22 |
| 13 | W | 9194 | 56779 | 480.075 | 894.488 | 29 |
| 14 | W | 9173 | 56731 | 473.751 | 893.731 | 29 |
| 15 | W | 8877 | 52044 | 384.602 | 819.893 | 20 |
| 16 | W | 9042 | 51661 | 434.296 | 813.859 | 22 |
| 17 | W | 9218 | 54100 | 487.304 | 852.283 | 22 |
| 18 | W | 8938 | 56885 | 402.974 | 896.158 | 29 |
| 19 | W | 9065 | 53652 | 441.224 | 845.225 | 22 |
| 20 | W | 9015 | 56507 | 426.165 | 890.203 | 29 |
Cluster likely to be: 22 | 11 matches 
