| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | B | 8615 | 46805 | 305.694 | 737.359 | 24 |
| 2 | B | 9211 | 42338 | 485.195 | 666.986 | 1 |
| 3 | B | 9193 | 44126 | 479.774 | 695.154 | 1 |
| 4 | B | 9112 | 42880 | 455.379 | 675.525 | 1 |
| 5 | B | 9338 | 45318 | 523.445 | 713.933 | 7 |
| 6 | B | 8668 | 43011 | 321.656 | 677.589 | 24 |
| 7 | B | 8828 | 45001 | 369.845 | 708.939 | 24 |
| 8 | B | 9345 | 42537 | 525.553 | 670.121 | 7 |
| 9 | B | 9150 | 43168 | 466.824 | 680.062 | 1 |
| 10 | B | 8787 | 44625 | 357.496 | 703.015 | 24 |
| 11 | B | 9050 | 45267 | 436.706 | 713.129 | 1 |
| 12 | B | 9213 | 43326 | 485.798 | 682.551 | 1 |
| 13 | B | 9051 | 46059 | 437.007 | 725.606 | 1 |
| 14 | B | 8788 | 44931 | 357.798 | 707.836 | 24 |
| 15 | B | 9113 | 42276 | 455.680 | 666.010 | 1 |
| 16 | B | 9063 | 45892 | 440.621 | 722.976 | 1 |
| 17 | B | 8674 | 44277 | 323.464 | 697.533 | 24 |
| 18 | B | 8977 | 46968 | 414.720 | 739.927 | 1 |
| 19 | B | 8808 | 42811 | 363.821 | 674.438 | 24 |
| 20 | B | 8617 | 47048 | 306.296 | 741.187 | 24 |
Cluster likely to be: 1 | 10 matches 
