| Sample No | Key Pressed | Sample | Key Match | Key Match Mean Approx | Distance | RealDistance |
| --------- |
| 1 | K | 9552 | G | 9541 | 11 | 334 |
| 2 | K | 8809 | P | 8816 | 7 | 1077 |
| 3 | K | 9864 | K | 9886 | 22 | 22 |
| 4 | K | 8524 | N | 8677 | 153 | 1362 |
| 5 | K | 8616 | N | 8677 | 61 | 1270 |
| 6 | K | 9148 | M | 9138 | 10 | 738 |
| 7 | K | 9901 | K | 9886 | 15 | 15 |
| 8 | K | 10279 | K | 9886 | 393 | 393 |
| 9 | K | 9909 | K | 9886 | 23 | 23 |
| 10 | K | 8419 | N | 8677 | 258 | 1467 |
| 11 | K | 9304 | Q | 9300 | 4 | 582 |
| 12 | K | 8532 | N | 8677 | 145 | 1354 |
| 13 | K | 9851 | K | 9886 | 35 | 35 |
| 14 | K | 9830 | K | 9886 | 56 | 56 |
| 15 | K | 8442 | N | 8677 | 235 | 1444 |
| 16 | K | 8596 | N | 8677 | 81 | 1290 |
| 17 | K | 8904 | D | 8908 | 4 | 982 |
| 18 | K | 10611 | K | 9886 | 725 | 725 |
| 19 | K | 9781 | K | 9886 | 105 | 105 |
| 20 | K | 9505 | G | 9541 | 36 | 381 |
accuracy = 40.0
