| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | L | 8912 | 54328 | 395.144 | 855.875 | 20 |
| 2 | L | 9365 | 51320 | 531.576 | 808.487 | 7 |
| 3 | L | 9096 | 54701 | 450.560 | 861.751 | 20 |
| 4 | L | 9444 | 52017 | 555.369 | 819.468 | 7 |
| 5 | L | 9218 | 54038 | 487.304 | 851.306 | 22 |
| 6 | L | 8840 | 52018 | 373.459 | 819.484 | 20 |
| 7 | L | 8919 | 54245 | 397.252 | 854.567 | 20 |
| 8 | L | 9187 | 53456 | 477.967 | 842.138 | 22 |
| 9 | L | 9361 | 52356 | 530.372 | 824.808 | 7 |
| 10 | L | 9228 | 52081 | 490.315 | 820.476 | 22 |
| 11 | L | 9295 | 51016 | 510.494 | 803.698 | 22 |
| 12 | L | 8855 | 54539 | 377.976 | 859.199 | 20 |
| 13 | L | 9466 | 53563 | 561.995 | 843.823 | 7 |
| 14 | L | 9253 | 54595 | 497.845 | 860.081 | 22 |
| 15 | L | 9182 | 54655 | 476.461 | 861.026 | 22 |
| 16 | L | 9407 | 52618 | 544.226 | 828.936 | 7 |
| 17 | L | 9274 | 52396 | 504.169 | 825.439 | 22 |
| 18 | L | 9371 | 51909 | 533.384 | 817.766 | 7 |
| 19 | L | 9002 | 53320 | 422.249 | 839.995 | 22 |
| 20 | L | 9244 | 53683 | 495.134 | 845.714 | 22 |
Cluster likely to be: 22 | 9 matches 
