| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | E | 8950 | 32050 | 406.588 | 504.911 | 26 |
| 2 | E | 8967 | 35596 | 411.708 | 560.774 | 26 |
| 3 | E | 9009 | 35150 | 424.358 | 553.748 | 26 |
| 4 | E | 9425 | 34617 | 549.647 | 545.351 | 4 |
| 5 | E | 9272 | 33264 | 503.567 | 524.036 | 4 |
| 6 | E | 8802 | 36156 | 362.014 | 569.596 | 26 |
| 7 | E | 9407 | 33438 | 544.226 | 526.777 | 4 |
| 8 | E | 9121 | 32471 | 458.089 | 511.543 | 26 |
| 9 | E | 8970 | 35496 | 412.612 | 559.199 | 26 |
| 10 | E | 8823 | 32238 | 368.339 | 507.872 | 26 |
| 11 | E | 8864 | 35669 | 380.687 | 561.924 | 26 |
| 12 | E | 8772 | 32728 | 352.979 | 515.592 | 26 |
| 13 | E | 8863 | 33846 | 380.386 | 533.205 | 26 |
| 14 | E | 8933 | 33148 | 401.468 | 522.208 | 26 |
| 15 | E | 9347 | 34118 | 526.155 | 537.490 | 4 |
| 16 | E | 9101 | 33474 | 452.066 | 527.344 | 26 |
| 17 | E | 9159 | 33349 | 469.534 | 525.375 | 4 |
| 18 | E | 9240 | 35066 | 493.929 | 552.424 | 4 |
| 19 | E | 8961 | 35987 | 409.901 | 566.934 | 26 |
| 20 | E | 9221 | 35098 | 488.207 | 552.928 | 4 |
Cluster likely to be: 26 | 13 matches 
