| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | F | 8844 | 56026 | 374.664 | 882.625 | 20 |
| 2 | F | 8881 | 57449 | 385.807 | 905.043 | 20 |
| 3 | F | 8751 | 62831 | 346.654 | 989.830 | 25 |
| 4 | F | 8901 | 57722 | 391.831 | 909.344 | 20 |
| 5 | F | 8715 | 55061 | 335.812 | 867.423 | 20 |
| 6 | F | 8880 | 58943 | 385.506 | 928.579 | 20 |
| 7 | F | 8779 | 56185 | 355.087 | 885.130 | 20 |
| 8 | F | 8755 | 60434 | 347.859 | 952.068 | 25 |
| 9 | F | 8724 | 62245 | 338.522 | 980.598 | 25 |
| 10 | F | 8873 | 56259 | 383.398 | 886.296 | 20 |
| 11 | F | 8896 | 56746 | 390.325 | 893.968 | 20 |
| 12 | F | 8811 | 61510 | 364.725 | 969.019 | 25 |
| 13 | F | 8806 | 57170 | 363.219 | 900.647 | 20 |
| 14 | F | 8774 | 55163 | 353.581 | 869.029 | 20 |
| 15 | F | 8736 | 62206 | 342.136 | 979.984 | 25 |
| 16 | F | 8741 | 54787 | 343.642 | 863.106 | 20 |
| 17 | F | 8896 | 55031 | 390.325 | 866.950 | 20 |
| 18 | F | 8729 | 54957 | 340.028 | 865.784 | 20 |
| 19 | F | 8907 | 57334 | 393.638 | 903.231 | 20 |
| 20 | F | 8895 | 57598 | 390.024 | 907.390 | 20 |
Cluster likely to be: 20 | 15 matches 
