| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | SPACE | 9046 | 35514 | 435.501 | 559.482 | 26 |
| 2 | SPACE | 9086 | 33132 | 447.548 | 521.956 | 26 |
| 3 | SPACE | 8903 | 33772 | 392.433 | 532.039 | 26 |
| 4 | SPACE | 9213 | 36578 | 485.798 | 576.244 | 4 |
| 5 | SPACE | 9191 | 33480 | 479.172 | 527.439 | 4 |
| 6 | SPACE | 8951 | 33871 | 406.889 | 533.599 | 26 |
| 7 | SPACE | 9372 | 34807 | 533.685 | 548.344 | 4 |
| 8 | SPACE | 9110 | 32843 | 454.776 | 517.404 | 26 |
| 9 | SPACE | 9251 | 36973 | 497.242 | 582.467 | 4 |
| 10 | SPACE | 8980 | 35568 | 415.624 | 560.333 | 26 |
| 11 | SPACE | 8890 | 35682 | 388.518 | 562.129 | 26 |
| 12 | SPACE | 8865 | 33772 | 380.988 | 532.039 | 26 |
| 13 | SPACE | 9326 | 35346 | 519.831 | 556.835 | 4 |
| 14 | SPACE | 9388 | 33276 | 538.504 | 524.225 | 4 |
| 15 | SPACE | 9043 | 34792 | 434.598 | 548.108 | 26 |
| 16 | SPACE | 9107 | 35434 | 453.873 | 558.222 | 4 |
| 17 | SPACE | 9046 | 33188 | 435.501 | 522.839 | 26 |
| 18 | SPACE | 9064 | 36464 | 440.922 | 574.448 | 26 |
| 19 | SPACE | 9366 | 36419 | 531.878 | 573.739 | 4 |
| 20 | SPACE | 9383 | 34454 | 536.998 | 542.783 | 4 |
Cluster likely to be: 26 | 11 matches 
