| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | S | 9077 | 58483 | 444.838 | 921.332 | 29 |
| 2 | S | 8927 | 58838 | 399.661 | 926.925 | 29 |
| 3 | S | 9113 | 58853 | 455.680 | 927.161 | 29 |
| 4 | S | 8958 | 59022 | 408.998 | 929.824 | 29 |
| 5 | S | 8981 | 59053 | 415.925 | 930.312 | 29 |
| 6 | S | 9027 | 58517 | 429.779 | 921.868 | 29 |
| 7 | S | 9049 | 58464 | 436.405 | 921.033 | 29 |
| 8 | S | 8917 | 58685 | 396.649 | 924.514 | 29 |
| 9 | S | 8956 | 58652 | 408.395 | 923.995 | 29 |
| 10 | S | 9029 | 58977 | 430.381 | 929.115 | 29 |
| 11 | S | 8957 | 59051 | 408.696 | 930.280 | 29 |
| 12 | S | 8916 | 59075 | 396.348 | 930.658 | 29 |
| 13 | S | 9103 | 58931 | 452.668 | 928.390 | 29 |
| 14 | S | 9074 | 58940 | 443.934 | 928.532 | 29 |
| 15 | S | 9013 | 58471 | 425.562 | 921.143 | 29 |
| 16 | S | 8978 | 58776 | 415.021 | 925.948 | 29 |
| 17 | S | 9119 | 58948 | 457.487 | 928.658 | 29 |
| 18 | S | 9111 | 58839 | 455.078 | 926.941 | 29 |
| 19 | S | 8955 | 58700 | 408.094 | 924.751 | 29 |
| 20 | S | 8901 | 58683 | 391.831 | 924.483 | 29 |
Cluster likely to be: 29 | 20 matches 
