| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | R | 9112 | 29891 | 455.379 | 470.898 | 17 |
| 2 | R | 9109 | 25816 | 454.475 | 406.701 | 17 |
| 3 | R | 8985 | 26045 | 417.129 | 410.309 | 0 |
| 4 | R | 8986 | 30153 | 417.431 | 475.026 | 17 |
| 5 | R | 9085 | 29917 | 447.247 | 471.308 | 17 |
| 6 | R | 8979 | 26740 | 415.322 | 421.258 | 17 |
| 7 | R | 9087 | 28806 | 447.849 | 453.805 | 17 |
| 8 | R | 9032 | 24849 | 431.285 | 391.467 | 0 |
| 9 | R | 9065 | 26657 | 441.224 | 419.950 | 17 |
| 10 | R | 9049 | 27718 | 436.405 | 436.665 | 17 |
| 11 | R | 8979 | 27234 | 415.322 | 429.040 | 17 |
| 12 | R | 9068 | 29400 | 442.127 | 463.163 | 17 |
| 13 | R | 8982 | 28239 | 416.226 | 444.873 | 17 |
| 14 | R | 8979 | 29590 | 415.322 | 466.156 | 17 |
| 15 | R | 9112 | 29669 | 455.379 | 467.401 | 17 |
| 16 | R | 9066 | 28047 | 441.525 | 441.848 | 17 |
| 17 | R | 9082 | 25414 | 446.344 | 400.368 | 17 |
| 18 | R | 9032 | 27795 | 431.285 | 437.878 | 17 |
| 19 | R | 9080 | 26323 | 445.741 | 414.688 | 17 |
| 20 | R | 9064 | 30011 | 440.922 | 472.789 | 17 |
Cluster likely to be: 17 | 18 matches 
