| Sample No | Key Pressed | Sample | Key Match | Key Match Mean Approx | Distance | RealDistance |
| --------- |
| 1 | Y | 7781 | N | 8677 | 896 | 912 |
| 2 | Y | 8656 | N | 8677 | 21 | 37 |
| 3 | Y | 7590 | N | 8677 | 1087 | 1103 |
| 4 | Y | 8089 | N | 8677 | 588 | 604 |
| 5 | Y | 7844 | N | 8677 | 833 | 849 |
| 6 | Y | 7603 | N | 8677 | 1074 | 1090 |
| 7 | Y | 7777 | N | 8677 | 900 | 916 |
| 8 | Y | 7916 | N | 8677 | 761 | 777 |
| 9 | Y | 9044 | V | 9000 | 44 | 351 |
| 10 | Y | 7884 | N | 8677 | 793 | 809 |
| 11 | Y | 8276 | N | 8677 | 401 | 417 |
| 12 | Y | 9062 | S | 9090 | 28 | 369 |
| 13 | Y | 7807 | N | 8677 | 870 | 886 |
| 14 | Y | 9443 | LEFT CONTROL | 9403 | 40 | 750 |
| 15 | Y | 7654 | N | 8677 | 1023 | 1039 |
| 16 | Y | 9509 | G | 9541 | 32 | 816 |
| 17 | Y | 8687 | Y | 8693 | 6 | 6 |
| 18 | Y | 9628 | G | 9541 | 87 | 935 |
| 19 | Y | 9741 | K | 9886 | 145 | 1048 |
| 20 | Y | 9735 | K | 9886 | 151 | 1042 |
accuracy = 5.0
