plot name, x, y, id
centroid0, 398.41, 350.05, 0
data point0, 448.51, 311.64, 0
data point1, 350.89, 368.17, 0
data point2, 334.51, 284.96, 0
data point3, 377.29, 334.36, 0
data point4, 376.60, 425.64, 0
data point5, 472.63, 340.42, 0
data point6, 430.54, 418.89, 0
data point7, 328.36, 311.20, 0
data point8, 350.66, 347.73, 0
data point9, 353.39, 342.33, 0
data point10, 451.24, 336.49, 0
data point11, 383.66, 350.26, 0
data point12, 357.72, 336.39, 0
data point13, 373.65, 422.47, 0
data point14, 406.87, 373.37, 0
data point15, 382.29, 323.05, 0
data point16, 430.54, 389.26, 0
data point17, 340.88, 303.67, 0
data point18, 438.27, 378.64, 0
data point19, 397.31, 419.93, 0
data point20, 372.74, 305.75, 0
data point21, 385.71, 284.50, 0
data point22, 353.62, 366.80, 0
data point23, 381.84, 279.32, 0
data point24, 415.97, 399.38, 0
data point25, 447.15, 401.14, 0
data point26, 415.06, 310.48, 0
data point27, 439.18, 377.12, 0
data point28, 358.40, 390.51, 0
data point29, 463.76, 286.69, 0
data point30, 464.67, 339.04, 0
data point31, 465.35, 342.06, 0
centroid1, 437.86, 683.85, 1
data point32, 431.22, 647.06, 1
data point33, 450.79, 660.86, 1
data point34, 440.55, 703.61, 1
data point35, 441.23, 694.04, 1
data point36, 469.67, 664.54, 1
data point37, 415.97, 681.81, 1
data point38, 416.20, 736.33, 1
data point39, 410.28, 718.88, 1
data point40, 432.81, 740.73, 1
data point41, 419.61, 694.95, 1
data point42, 447.37, 695.17, 1
data point43, 427.35, 728.55, 1
data point44, 435.09, 692.46, 1
data point45, 425.30, 673.04, 1
data point46, 401.64, 664.04, 1
data point47, 440.55, 701.96, 1
data point48, 432.58, 630.94, 1
data point49, 471.50, 627.35, 1
data point50, 452.15, 704.95, 1
data point51, 452.61, 604.82, 1
data point52, 481.05, 690.18, 1
data point53, 407.78, 621.90, 1
data point54, 441.91, 707.62, 1
data point55, 463.53, 726.52, 1
centroid2, 319.44, 76.69, 2
data point56, 371.14, 88.51, 2
data point57, 376.38, 27.92, 2
data point58, 389.58, 31.62, 2
data point59, 327.68, 40.00, 2
data point60, 343.61, 34.56, 2
data point61, 338.83, 29.90, 2
data point62, 303.33, 97.31, 2
data point63, 361.13, 39.42, 2
data point64, 378.65, 39.68, 2
data point65, 283.53, 146.34, 2
data point66, 319.26, 102.20, 2
data point67, 312.89, 101.49, 2
data point68, 239.84, 132.52, 2
data point69, 283.99, 137.89, 2
data point70, 371.37, 95.66, 2
data point71, 347.70, 48.62, 2
data point72, 244.62, 75.37, 2
data point73, 292.64, 136.71, 2
data point74, 317.21, 89.83, 2
data point75, 369.32, 119.73, 2
data point76, 337.01, 71.40, 2
data point77, 324.72, 30.67, 2
data point78, 294.23, 89.58, 2
data point79, 363.41, 105.44, 2
data point80, 350.21, 75.18, 2
data point81, 335.64, 33.18, 2
data point82, 309.70, 123.81, 2
data point83, 277.39, 95.74, 2
data point84, 285.58, 17.86, 2
data point85, 283.76, 24.81, 2
data point86, 264.65, 93.34, 2
data point87, 323.58, 106.69, 2
data point88, 336.78, 90.25, 2
data point89, 327.00, 88.91, 2
data point90, 240.07, 25.79, 2
data point91, 273.52, 73.05, 2
centroid3, 120.63, 293.60, 3
data point92, 117.19, 335.29, 3
data point93, 127.66, 249.87, 3
data point94, 129.93, 364.43, 3
data point95, 157.70, 319.31, 3
data point96, 162.93, 291.46, 3
data point97, 59.85, 302.66, 3
data point98, 179.31, 325.40, 3
data point99, 157.47, 290.14, 3
data point100, 57.57, 235.17, 3
data point101, 47.56, 289.86, 3
data point102, 105.13, 208.34, 3
data point103, 144.04, 240.56, 3
data point104, 81.46, 191.61, 3
data point105, 152.92, 369.68, 3
data point106, 147.91, 339.15, 3
data point107, 101.49, 344.68, 3
centroid4, 554.60, 563.28, 4
data point108, 535.44, 635.24, 4
data point109, 545.91, 546.11, 4
data point110, 555.24, 515.89, 4
data point111, 511.32, 603.83, 4
data point112, 698.37, 538.80, 4
data point113, 478.55, 568.00, 4
data point114, 502.67, 602.27, 4
data point115, 536.35, 518.35, 4
data point116, 551.37, 542.61, 4
data point117, 630.78, 561.69, 4
centroid5, 60.32, 914.97, 5
data point118, 63.72, 926.66, 5
data point119, 67.81, 957.58, 5
data point120, 115.37, 874.07, 5
data point121, 23.67, 888.67, 5
data point122, 108.54, 954.04, 5
data point123, 55.30, 950.89, 5
data point124, 22.53, 854.50, 5
data point125, 18.43, 908.37, 5
data point126, 19.34, 921.52, 5
data point127, 108.54, 913.38, 5
centroid6, 108.84, 772.93, 6
data point128, 71.91, 759.05, 6
data point129, 169.07, 736.32, 6
data point130, 55.98, 786.62, 6
data point131, 82.60, 701.30, 6
data point132, 150.64, 730.82, 6
data point133, 119.47, 732.96, 6
data point134, 97.62, 848.39, 6
data point135, 131.30, 712.12, 6
data point136, 116.28, 850.49, 6
data point137, 139.04, 822.67, 6
data point138, 135.85, 724.33, 6
data point139, 57.57, 806.74, 6
data point140, 98.99, 833.63, 6
data point141, 31.63, 753.05, 6
data point142, 122.20, 840.45, 6
data point143, 161.34, 727.87, 6
centroid7, 526.84, 736.04, 7
data point144, 480.14, 781.91, 7
data point145, 599.15, 709.65, 7
data point146, 482.42, 724.42, 7
data point147, 566.39, 763.89, 7
data point148, 483.10, 774.16, 7
data point149, 570.94, 749.06, 7
data point150, 544.54, 680.19, 7
data point151, 504.72, 735.17, 7
data point152, 516.32, 685.80, 7
data point153, 496.53, 725.48, 7
data point154, 519.96, 653.39, 7
data point155, 589.82, 777.11, 7
data point156, 485.83, 762.44, 7
data point157, 572.07, 755.07, 7
data point158, 490.61, 762.94, 7
centroid8, 414.61, 198.36, 8
data point159, 458.07, 246.67, 8
data point160, 401.18, 197.52, 8
data point161, 419.16, 137.12, 8
data point162, 417.79, 136.62, 8
data point163, 437.82, 200.85, 8
data point164, 439.86, 173.89, 8
data point165, 386.62, 173.09, 8
data point166, 430.76, 181.66, 8
data point167, 379.11, 211.78, 8
data point168, 333.82, 197.62, 8
data point169, 499.03, 170.25, 8
data point170, 341.79, 209.09, 8
data point171, 411.88, 187.55, 8
data point172, 358.86, 164.09, 8
data point173, 432.13, 264.59, 8
data point174, 407.32, 215.28, 8
data point175, 408.23, 179.07, 8
data point176, 357.03, 232.21, 8
data point177, 369.55, 234.13, 8
data point178, 423.94, 187.41, 8
data point179, 471.50, 214.36, 8
data point180, 337.92, 222.54, 8
data point181, 381.38, 224.29, 8
data point182, 470.81, 180.22, 8
data point183, 424.39, 224.52, 8
data point184, 371.60, 156.72, 8
data point185, 494.93, 184.29, 8
data point186, 465.12, 208.96, 8
data point187, 481.96, 167.83, 8
data point188, 424.85, 266.59, 8
centroid9, 239.15, 411.09, 9
data point189, 256.23, 462.52, 9
data point190, 194.10, 363.85, 9
data point191, 306.52, 401.00, 9
data point192, 232.11, 448.40, 9
data point193, 233.93, 345.18, 9
data point194, 283.99, 360.46, 9
data point195, 162.02, 403.00, 9
data point196, 284.22, 357.11, 9
data point197, 241.21, 514.87, 9
data point198, 183.86, 468.33, 9
data point199, 274.66, 391.69, 9
data point200, 227.33, 373.74, 9
data point201, 238.02, 435.48, 9
data point202, 330.87, 444.12, 9
data point203, 307.43, 355.39, 9
data point204, 148.59, 416.61, 9
data point205, 240.75, 424.85, 9
data point206, 321.08, 451.58, 9
data point207, 238.71, 458.83, 9
data point208, 226.65, 352.63, 9
data point209, 215.04, 397.86, 9
data point210, 239.16, 519.17, 9
data point211, 244.62, 359.58, 9
data point212, 250.99, 383.37, 9
data point213, 203.89, 430.25, 9
data point214, 173.62, 393.37, 9
data point215, 252.59, 378.66, 9
data point216, 173.85, 423.98, 9
data point217, 200.02, 393.48, 9
data point218, 288.31, 423.16, 9
centroid10, 486.34, 64.64, 10
data point219, 432.58, 108.43, 10
data point220, 527.25, 135.72, 10
data point221, 418.93, 78.64, 10
data point222, 434.40, 55.12, 10
data point223, 407.32, 13.44, 10
data point224, 555.69, 65.32, 10
data point225, 490.61, 31.60, 10
data point226, 537.94, 154.45, 10
data point227, 454.88, 35.64, 10
data point228, 500.62, 24.86, 10
data point229, 442.37, 70.10, 10
data point230, 481.74, 88.19, 10
data point231, 499.48, 82.06, 10
data point232, 501.76, 19.88, 10
data point233, 513.82, 21.38, 10
data point234, 549.32, 43.91, 10
data point235, 495.16, 137.31, 10
data point236, 529.75, 95.14, 10
data point237, 419.61, 29.60, 10
data point238, 533.62, 1.95, 10
centroid11, 275.71, 840.37, 11
data point239, 297.19, 886.86, 11
data point240, 252.59, 827.17, 11
data point241, 290.36, 851.46, 11
data point242, 253.72, 867.56, 11
data point243, 235.98, 825.15, 11
data point244, 248.49, 860.16, 11
data point245, 320.85, 858.16, 11
data point246, 297.42, 864.43, 11
data point247, 307.88, 836.29, 11
data point248, 299.01, 815.95, 11
data point249, 302.65, 814.88, 11
data point250, 298.33, 856.79, 11
data point251, 274.89, 790.54, 11
data point252, 265.33, 800.09, 11
data point253, 297.19, 794.43, 11
data point254, 208.21, 827.55, 11
data point255, 310.16, 804.31, 11
data point256, 302.19, 891.21, 11
data point257, 202.75, 845.98, 11
data point258, 307.43, 843.13, 11
data point259, 248.04, 843.13, 11
data point260, 281.26, 786.31, 11
data point261, 286.72, 889.89, 11
data point262, 259.41, 898.88, 11
data point263, 244.62, 828.86, 11
centroid12, 70.50, 500.89, 12
data point264, 102.63, 502.63, 12
data point265, 45.51, 479.31, 12
data point266, 7.28, 574.05, 12
data point267, 130.62, 478.43, 12
data point268, 92.62, 459.81, 12
data point269, 44.37, 511.12, 12
centroid13, 629.66, 86.41, 13
data point270, 567.52, 102.45, 13
data point271, 573.21, 71.30, 13
