| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | N | 8483 | 5748 | 265.939 | 90.553 | 27 |
| 2 | N | 8995 | 5611 | 420.141 | 88.395 | 2 |
| 3 | N | 8498 | 3041 | 270.456 | 47.907 | 27 |
| 4 | N | 8624 | 3480 | 308.405 | 54.823 | 27 |
| 5 | N | 9042 | 1895 | 434.296 | 29.854 | 2 |
| 6 | N | 8991 | 6009 | 418.936 | 94.665 | 2 |
| 7 | N | 8669 | 4325 | 321.958 | 68.135 | 27 |
| 8 | N | 8914 | 3341 | 395.746 | 52.634 | 2 |
| 9 | N | 8454 | 2021 | 257.205 | 31.839 | 27 |
| 10 | N | 8932 | 5629 | 401.167 | 88.678 | 2 |
| 11 | N | 8464 | 3173 | 260.216 | 49.987 | 27 |
| 12 | N | 8729 | 3921 | 340.028 | 61.771 | 27 |
| 13 | N | 8609 | 4948 | 303.887 | 77.950 | 27 |
| 14 | N | 9021 | 6401 | 427.972 | 100.840 | 2 |
| 15 | N | 8470 | 4973 | 262.024 | 78.344 | 27 |
| 16 | N | 8765 | 5498 | 350.871 | 86.615 | 2 |
| 17 | N | 8965 | 3045 | 411.106 | 47.970 | 2 |
| 18 | N | 8992 | 6151 | 419.238 | 96.902 | 2 |
| 19 | N | 8612 | 3725 | 304.791 | 58.683 | 27 |
| 20 | N | 8624 | 4743 | 308.405 | 74.720 | 27 |
Cluster likely to be: 27 | 11 matches 
