| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | T | 8644 | 62854 | 314.428 | 990.192 | 25 |
| 2 | T | 8627 | 59082 | 309.308 | 930.769 | 25 |
| 3 | T | 8567 | 60620 | 291.238 | 954.998 | 25 |
| 4 | T | 8783 | 60625 | 356.292 | 955.077 | 25 |
| 5 | T | 8586 | 63427 | 296.960 | 999.219 | 25 |
| 6 | T | 8648 | 63562 | 315.633 | 1001.346 | 25 |
| 7 | T | 8606 | 60086 | 302.984 | 946.586 | 25 |
| 8 | T | 8877 | 62228 | 384.602 | 980.330 | 25 |
| 9 | T | 8549 | 62343 | 285.816 | 982.142 | 25 |
| 10 | T | 8769 | 64348 | 352.075 | 1013.728 | 25 |
| 11 | T | 8421 | 60413 | 247.266 | 951.737 | 18 |
| 12 | T | 8454 | 63110 | 257.205 | 994.225 | 18 |
| 13 | T | 8712 | 63067 | 334.908 | 993.548 | 25 |
| 14 | T | 8815 | 60805 | 365.929 | 957.913 | 25 |
| 15 | T | 8565 | 59082 | 290.635 | 930.769 | 18 |
| 16 | T | 8687 | 62792 | 327.379 | 989.216 | 25 |
| 17 | T | 8709 | 59911 | 334.005 | 943.829 | 25 |
| 18 | T | 8835 | 59049 | 371.953 | 930.249 | 29 |
| 19 | T | 8488 | 61095 | 267.445 | 962.481 | 18 |
| 20 | T | 8635 | 59333 | 311.718 | 934.723 | 18 |
Cluster likely to be: 25 | 14 matches 
