| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | BACKSPACE | 9362 | 44110 | 530.673 | 694.902 | 1 |
| 2 | BACKSPACE | 9139 | 46050 | 463.511 | 725.465 | 1 |
| 3 | BACKSPACE | 9320 | 43463 | 518.024 | 684.709 | 1 |
| 4 | BACKSPACE | 8977 | 47639 | 414.720 | 750.497 | 1 |
| 5 | BACKSPACE | 9058 | 47206 | 439.115 | 743.676 | 1 |
| 6 | BACKSPACE | 9081 | 46432 | 446.042 | 731.483 | 1 |
| 7 | BACKSPACE | 9140 | 44028 | 463.812 | 693.610 | 1 |
| 8 | BACKSPACE | 9284 | 45877 | 507.181 | 722.739 | 1 |
| 9 | BACKSPACE | 9114 | 49587 | 455.981 | 781.186 | 22 |
| 10 | BACKSPACE | 9360 | 45158 | 530.071 | 711.412 | 1 |
| 11 | BACKSPACE | 9237 | 49271 | 493.026 | 776.208 | 22 |
| 12 | BACKSPACE | 9297 | 45327 | 511.096 | 714.075 | 1 |
| 13 | BACKSPACE | 9394 | 47041 | 540.311 | 741.077 | 7 |
| 14 | BACKSPACE | 9278 | 47539 | 505.374 | 748.922 | 1 |
| 15 | BACKSPACE | 9233 | 47741 | 491.821 | 752.104 | 1 |
| 16 | BACKSPACE | 8956 | 48725 | 408.395 | 767.606 | 22 |
| 17 | BACKSPACE | 9411 | 50054 | 545.431 | 788.543 | 7 |
| 18 | BACKSPACE | 9065 | 44870 | 441.224 | 706.875 | 1 |
| 19 | BACKSPACE | 9410 | 43681 | 545.129 | 688.144 | 1 |
| 20 | BACKSPACE | 8986 | 49077 | 417.431 | 773.152 | 22 |
Cluster likely to be: 1 | 14 matches 
