| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | P | 8822 | 22603 | 368.038 | 356.084 | 0 |
| 2 | P | 8822 | 23206 | 368.038 | 365.584 | 0 |
| 3 | P | 8806 | 22987 | 363.219 | 362.134 | 0 |
| 4 | P | 8803 | 23206 | 362.315 | 365.584 | 0 |
| 5 | P | 8809 | 24521 | 364.122 | 386.300 | 0 |
| 6 | P | 8796 | 25078 | 360.207 | 395.075 | 0 |
| 7 | P | 8800 | 22866 | 361.412 | 360.227 | 0 |
| 8 | P | 8819 | 24086 | 367.134 | 379.447 | 0 |
| 9 | P | 8804 | 22746 | 362.616 | 358.337 | 0 |
| 10 | P | 8808 | 24754 | 363.821 | 389.971 | 0 |
| 11 | P | 8810 | 22729 | 364.424 | 358.069 | 0 |
| 12 | P | 8810 | 22355 | 364.424 | 352.177 | 0 |
| 13 | P | 8809 | 23444 | 364.122 | 369.333 | 0 |
| 14 | P | 8813 | 24314 | 365.327 | 383.039 | 0 |
| 15 | P | 8816 | 23147 | 366.231 | 364.654 | 0 |
| 16 | P | 8812 | 24519 | 365.026 | 386.269 | 0 |
| 17 | P | 8798 | 22597 | 360.809 | 355.990 | 0 |
| 18 | P | 8813 | 23124 | 365.327 | 364.292 | 0 |
| 19 | P | 8797 | 22953 | 360.508 | 361.598 | 0 |
| 20 | P | 8815 | 24070 | 365.929 | 379.195 | 0 |
Cluster likely to be: 0 | 20 matches 
