| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | M | 9166 | 31498 | 471.642 | 496.215 | 4 |
| 2 | M | 8773 | 33509 | 353.280 | 527.896 | 26 |
| 3 | M | 9055 | 34002 | 438.212 | 535.662 | 26 |
| 4 | M | 9171 | 30828 | 473.148 | 485.660 | 17 |
| 5 | M | 8778 | 31043 | 354.786 | 489.047 | 26 |
| 6 | M | 9080 | 29641 | 445.741 | 466.960 | 17 |
| 7 | M | 9178 | 32404 | 475.256 | 510.488 | 17 |
| 8 | M | 9154 | 34758 | 468.028 | 547.572 | 17 |
| 9 | M | 9022 | 29706 | 428.273 | 467.984 | 17 |
| 10 | M | 8912 | 32625 | 395.144 | 513.969 | 26 |
| 11 | M | 9120 | 33076 | 457.788 | 521.074 | 17 |
| 12 | M | 8724 | 30161 | 338.522 | 475.152 | 26 |
| 13 | M | 9137 | 32308 | 462.908 | 508.975 | 17 |
| 14 | M | 8842 | 33995 | 374.061 | 535.552 | 26 |
| 15 | M | 9113 | 32415 | 455.680 | 510.661 | 17 |
| 16 | M | 8934 | 34454 | 401.769 | 542.783 | 26 |
| 17 | M | 9040 | 34850 | 433.694 | 549.022 | 17 |
| 18 | M | 8716 | 29596 | 336.113 | 466.251 | 9 |
| 19 | M | 9070 | 29929 | 442.729 | 471.497 | 17 |
| 20 | M | 9096 | 30441 | 450.560 | 479.563 | 17 |
Cluster likely to be: 17 | 11 matches 
