| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | C | 9093 | 6620 | 449.656 | 104.290 | 10 |
| 2 | C | 9253 | 3481 | 497.845 | 54.839 | 10 |
| 3 | C | 8955 | 3041 | 408.094 | 47.907 | 10 |
| 4 | C | 8888 | 1636 | 387.915 | 25.773 | 10 |
| 5 | C | 9244 | 3856 | 495.134 | 60.747 | 10 |
| 6 | C | 9048 | 3792 | 436.104 | 59.739 | 10 |
| 7 | C | 9061 | 7532 | 440.019 | 118.658 | 10 |
| 8 | C | 9143 | 5499 | 464.715 | 86.630 | 10 |
| 9 | C | 8905 | 6810 | 393.035 | 107.284 | 10 |
| 10 | C | 9134 | 5864 | 462.005 | 92.381 | 10 |
| 11 | C | 9171 | 8398 | 473.148 | 132.301 | 10 |
| 12 | C | 9047 | 5256 | 435.802 | 82.802 | 10 |
| 13 | C | 9199 | 6589 | 481.581 | 103.802 | 10 |
| 14 | C | 8885 | 5211 | 387.012 | 82.093 | 10 |
| 15 | C | 8992 | 6570 | 419.238 | 103.503 | 10 |
| 16 | C | 9232 | 1542 | 491.520 | 24.292 | 10 |
| 17 | C | 9110 | 1981 | 454.776 | 31.208 | 10 |
| 18 | C | 9329 | 6889 | 520.734 | 108.528 | 10 |
| 19 | C | 8874 | 4944 | 383.699 | 77.887 | 2 |
| 20 | C | 9007 | 7316 | 423.755 | 115.255 | 2 |
Cluster likely to be: 10 | 18 matches 
