| Key | Mean Approximation | Sample 1 | Sample 2 | Sample 3 | Sample 4 | Sample 5 |
| --- |
| A| 8794 | 7957 | 7819 | 9168 | 7456 | 7109 |
| B| 8854 | 7350 | 7696 | 10398 | 9838 | 8455 |
| C| 8916 | 7666 | 9696 | 8032 | 9628 | 10646 |
| D| 8908 | 8147 | 9641 | 7078 | 8853 | 9181 |
| E| 9102 | 7483 | 7128 | 9280 | 9555 | 9154 |
| F| 8771 | 9724 | 9492 | 8395 | 7157 | 7326 |
| G| 9541 | 7204 | 10775 | 8994 | 10663 | 8845 |
| H| 9165 | 10443 | 10643 | 8373 | 8410 | 9981 |
| I| 9319 | 7245 | 10514 | 9893 | 9257 | 7406 |
| J| 8707 | 8514 | 8855 | 10989 | 7018 | 8173 |
| K| 8996 | 8729 | 9430 | 7881 | 8962 | 10134 |
| L| 9188 | 9371 | 7938 | 9207 | 9090 | 10846 |
| M| 9138 | 7627 | 9576 | 7326 | 10953 | 10329 |
| N| 8677 | 7234 | 10420 | 8925 | 9322 | 10452 |
| O| 9213 | 8355 | 8094 | 8805 | 8254 | 9610 |
| P| 8816 | 10666 | 8543 | 10154 | 9184 | 8152 |
| Q| 9300 | 10905 | 10341 | 9338 | 9376 | 10579 |
| R| 9095 | 10511 | 7810 | 10162 | 8032 | 8695 |
| S| 9090 | 9413 | 8288 | 8442 | 8015 | 8943 |
| T| 8792 | 8060 | 7821 | 7566 | 8568 | 10242 |
| U| 8709 | 9938 | 7370 | 9380 | 7260 | 9167 |
| V| 9000 | 10939 | 9994 | 8940 | 10160 | 9417 |
| W| 8949 | 7397 | 8630 | 10464 | 8416 | 10333 |
| X| 8958 | 7556 | 7417 | 10905 | 7201 | 7879 |
| Y| 8693 | 8945 | 9602 | 7014 | 9108 | 7453 |
| LEFT CONTROL| 9403 | 10997 | 10613 | 8042 | 10822 | 9982 |
| SPACE| 8931 | 7541 | 8558 | 8426 | 8711 | 10456 |
| ENTER| 8845 | 7667 | 7036 | 7897 | 9839 | 10668 |
| BACKSPACE| 8952 | 8273 | 8613 | 9393 | 7254 | 7167 |
| NUMPAD ENTER| 9274 | 8583 | 9259 | 7585 | 8729 | 10498 |
