| Sample No | Key Pressed | Sample | Key Match | Key Match Mean Approx | Distance | RealDistance |
| --------- |
| 1 | G | 9158 | H | 9165 | 7 | 383 |
| 2 | G | 9566 | G | 9541 | 25 | 25 |
| 3 | G | 10103 | K | 9886 | 217 | 562 |
| 4 | G | 9686 | G | 9541 | 145 | 145 |
| 5 | G | 10385 | K | 9886 | 499 | 844 |
| 6 | G | 10518 | K | 9886 | 632 | 977 |
| 7 | G | 9844 | K | 9886 | 42 | 303 |
| 8 | G | 8769 | F | 8771 | 2 | 772 |
| 9 | G | 10333 | K | 9886 | 447 | 792 |
| 10 | G | 8515 | N | 8677 | 162 | 1026 |
| 11 | G | 10163 | K | 9886 | 277 | 622 |
| 12 | G | 9825 | K | 9886 | 61 | 284 |
| 13 | G | 10433 | K | 9886 | 547 | 892 |
| 14 | G | 9233 | O | 9213 | 20 | 308 |
| 15 | G | 9594 | G | 9541 | 53 | 53 |
| 16 | G | 9829 | K | 9886 | 57 | 288 |
| 17 | G | 8973 | X | 8958 | 15 | 568 |
| 18 | G | 8600 | N | 8677 | 77 | 941 |
| 19 | G | 9860 | K | 9886 | 26 | 319 |
| 20 | G | 8727 | U | 8709 | 18 | 814 |
accuracy = 15.0
