A, 8794 , 7957 , 7819 , 9168 , 7456 , 7109 , 10052 , 8486 , 8709 , 9799 , 9083 , 8173 , 7220 , 7445 , 10421 , 10440 , 8616 , 8744 , 10641 , 9344 , 9213 
B, 8854 , 7350 , 7696 , 10398 , 9838 , 8455 , 7665 , 9051 , 10521 , 9839 , 8061 , 7755 , 9183 , 9580 , 8151 , 8529 , 10679 , 7725 , 10990 , 8033 , 7586 
C, 8916 , 7666 , 9696 , 8032 , 9628 , 10646 , 9668 , 8891 , 9179 , 8440 , 9871 , 9660 , 9434 , 7020 , 9454 , 7380 , 7612 , 10554 , 7469 , 10788 , 7244 
D, 8908 , 8147 , 9641 , 7078 , 8853 , 9181 , 7969 , 8212 , 8598 , 9376 , 10339 , 7970 , 7151 , 9088 , 10443 , 7712 , 9549 , 7336 , 10850 , 10492 , 10183 
E, 9102 , 7483 , 7128 , 9280 , 9555 , 9154 , 8052 , 10787 , 10240 , 7739 , 8494 , 8255 , 9194 , 9340 , 10977 , 10718 , 8674 , 9575 , 10655 , 7960 , 8791 
F, 8771 , 9724 , 9492 , 8395 , 7157 , 7326 , 8955 , 9943 , 9085 , 8134 , 7795 , 10275 , 9220 , 9690 , 8101 , 8071 , 7562 , 10164 , 10425 , 7388 , 8531 
G, 9541 , 7204 , 10775 , 8994 , 10663 , 8845 , 10022 , 8748 , 10586 , 10913 , 10646 , 7889 , 10893 , 10544 , 10103 , 8485 , 10967 , 7857 , 7508 , 10907 , 8280 
H, 9165 , 10443 , 10643 , 8373 , 8410 , 9981 , 7213 , 9515 , 9721 , 8445 , 10481 , 8883 , 8215 , 10175 , 8972 , 8344 , 7408 , 8846 , 8354 , 10588 , 10290 
I, 9319 , 7245 , 10514 , 9893 , 9257 , 7406 , 8928 , 10424 , 10021 , 9353 , 10819 , 7276 , 9973 , 8100 , 10588 , 9596 , 7832 , 8475 , 9589 , 10248 , 10856 
J, 8707 , 8514 , 8855 , 10989 , 7018 , 8173 , 8329 , 7734 , 10226 , 9663 , 9869 , 10061 , 7873 , 7060 , 7013 , 9221 , 7173 , 9119 , 9093 , 10714 , 7451 
K, 8996 , 8729 , 9430 , 7881 , 8962 , 10134 , 9340 , 10052 , 8788 , 8315 , 10861 , 9074 , 9106 , 9008 , 10282 , 7440 , 8422 , 7453 , 8598 , 10678 , 7381 
L, 9188 , 9371 , 7938 , 9207 , 9090 , 10846 , 9470 , 8536 , 9258 , 8912 , 8929 , 10419 , 8730 , 8024 , 10861 , 7589 , 9748 , 10687 , 8111 , 8288 , 9751 
M, 9138 , 7627 , 9576 , 7326 , 10953 , 10329 , 7411 , 10528 , 7773 , 10724 , 8577 , 7198 , 7005 , 10379 , 8778 , 9118 , 9588 , 8934 , 10657 , 9507 , 10784 
N, 8677 , 7234 , 10420 , 8925 , 9322 , 10452 , 7419 , 10129 , 9466 , 7334 , 7968 , 8294 , 7032 , 9507 , 7260 , 8938 , 8604 , 7975 , 9747 , 8318 , 9201 
O, 9213 , 8355 , 8094 , 8805 , 8254 , 9610 , 8792 , 9668 , 8125 , 9530 , 7126 , 10503 , 8058 , 10817 , 10639 , 9739 , 8231 , 9809 , 10943 , 10092 , 9082 
P, 8816 , 10666 , 8543 , 10154 , 9184 , 8152 , 7471 , 8169 , 8796 , 9367 , 9024 , 8089 , 8451 , 8932 , 10872 , 9463 , 8144 , 7993 , 9673 , 7542 , 7641 
Q, 9300 , 10905 , 10341 , 9338 , 9376 , 10579 , 9626 , 7951 , 7643 , 9524 , 9735 , 7376 , 10312 , 10784 , 9143 , 10305 , 8472 , 7347 , 10260 , 7637 , 9350 
R, 9095 , 10511 , 7810 , 10162 , 8032 , 8695 , 8843 , 10937 , 10661 , 9731 , 7034 , 10509 , 8099 , 10034 , 8552 , 8403 , 7338 , 7719 , 10518 , 7505 , 10817 
S, 9090 , 9413 , 8288 , 8442 , 8015 , 8943 , 10468 , 8109 , 10583 , 7800 , 8582 , 9134 , 8536 , 9615 , 10535 , 9564 , 9851 , 7427 , 8643 , 10032 , 9829 
T, 8792 , 8060 , 7821 , 7566 , 8568 , 10242 , 7404 , 10197 , 10830 , 9585 , 8735 , 9156 , 8303 , 10342 , 8446 , 7102 , 10510 , 9345 , 8633 , 7992 , 7012 
U, 8709 , 9938 , 7370 , 9380 , 7260 , 9167 , 8078 , 10157 , 9546 , 7145 , 9943 , 7415 , 7104 , 9242 , 10322 , 8357 , 9144 , 8304 , 8592 , 7242 , 10483 
V, 9000 , 10939 , 9994 , 8940 , 10160 , 9417 , 9063 , 8605 , 7466 , 10879 , 8252 , 8960 , 8400 , 10740 , 7528 , 7467 , 9365 , 8827 , 7819 , 8035 , 9159 
W, 8949 , 7397 , 8630 , 10464 , 8416 , 10333 , 7857 , 7199 , 7498 , 8882 , 8403 , 8203 , 10442 , 10863 , 8060 , 9101 , 10847 , 10066 , 8825 , 10270 , 7242 
X, 8958 , 7556 , 7417 , 10905 , 7201 , 7879 , 9905 , 10526 , 10794 , 9056 , 7077 , 10465 , 7801 , 9225 , 10284 , 7553 , 7931 , 8586 , 10012 , 8673 , 10328 
Y, 8693 , 8945 , 9602 , 7014 , 9108 , 7453 , 8126 , 9034 , 9503 , 8817 , 7620 , 10919 , 7708 , 10372 , 7673 , 7424 , 10443 , 10452 , 7015 , 8375 , 8266 
LEFT CONTROL, 9403 , 10997 , 10613 , 8042 , 10822 , 9982 , 10207 , 9818 , 8273 , 9448 , 9849 , 8637 , 9688 , 10261 , 9919 , 9148 , 8207 , 9931 , 8300 , 7006 , 8913 
SPACE, 8931 , 7541 , 8558 , 8426 , 8711 , 10456 , 8296 , 10535 , 9814 , 8861 , 10320 , 8494 , 7600 , 7804 , 9116 , 9183 , 9903 , 9794 , 7784 , 9367 , 8064 
ENTER, 8845 , 7667 , 7036 , 7897 , 9839 , 10668 , 9661 , 8840 , 10526 , 9632 , 7538 , 8369 , 8917 , 9998 , 7869 , 8508 , 7447 , 8555 , 9006 , 8740 , 10199 
BACKSPACE, 8952 , 8273 , 8613 , 9393 , 7254 , 7167 , 10885 , 7397 , 10326 , 7317 , 10285 , 8714 , 8728 , 7742 , 10954 , 8335 , 9838 , 10732 , 9048 , 8461 , 9591 
NUMPAD ENTER, 9274 , 8583 , 9259 , 7585 , 8729 , 10498 , 8823 , 7244 , 10604 , 9261 , 7386 , 9386 , 10985 , 7080 , 10627 , 10983 , 9396 , 10423 , 9320 , 9646 , 9672 
