| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | K | 9914 | 3922 | 696.922 | 61.787 | 13 |
| 2 | K | 9585 | 4429 | 597.835 | 69.774 | 13 |
| 3 | K | 10150 | 3905 | 768.000 | 61.519 | 13 |
| 4 | K | 9765 | 3611 | 652.047 | 56.887 | 13 |
| 5 | K | 10228 | 3326 | 791.492 | 52.397 | 13 |
| 6 | K | 9748 | 5019 | 646.927 | 79.069 | 13 |
| 7 | K | 9627 | 5659 | 610.485 | 89.151 | 13 |
| 8 | K | 9838 | 5485 | 674.033 | 86.410 | 13 |
| 9 | K | 10089 | 2865 | 749.628 | 45.135 | 13 |
| 10 | K | 9599 | 5608 | 602.052 | 88.348 | 13 |
| 11 | K | 10258 | 2792 | 800.527 | 43.985 | 13 |
| 12 | K | 9764 | 4906 | 651.746 | 77.288 | 13 |
| 13 | K | 9783 | 4928 | 657.468 | 77.635 | 13 |
| 14 | K | 9708 | 4319 | 634.880 | 68.041 | 13 |
| 15 | K | 9694 | 3019 | 630.664 | 47.561 | 13 |
| 16 | K | 10104 | 5441 | 754.146 | 85.717 | 13 |
| 17 | K | 9664 | 5089 | 621.628 | 80.171 | 13 |
| 18 | K | 10153 | 3335 | 768.904 | 52.539 | 13 |
| 19 | K | 9891 | 3695 | 689.995 | 58.210 | 13 |
| 20 | K | 10161 | 5682 | 771.313 | 89.513 | 13 |
Cluster likely to be: 13 | 20 matches 
