| Sample No | Key Pressed | Sample X | Sample Y | New Range X | New Range Y | Cluster |
| --------- |
| 1 | X | 8773 | 47822 | 353.280 | 753.380 | 24 |
| 2 | X | 8797 | 48091 | 360.508 | 757.618 | 24 |
| 3 | X | 8732 | 51865 | 340.932 | 817.073 | 11 |
| 4 | X | 8964 | 50069 | 410.805 | 788.779 | 22 |
| 5 | X | 8619 | 49133 | 306.899 | 774.034 | 24 |
| 6 | X | 8642 | 48855 | 313.826 | 769.654 | 24 |
| 7 | X | 8917 | 50710 | 396.649 | 798.878 | 22 |
| 8 | X | 8634 | 48624 | 311.416 | 766.015 | 24 |
| 9 | X | 9078 | 49019 | 445.139 | 772.238 | 22 |
| 10 | X | 8819 | 50125 | 367.134 | 789.662 | 24 |
| 11 | X | 8635 | 51655 | 311.718 | 813.765 | 11 |
| 12 | X | 8733 | 48040 | 341.233 | 756.815 | 24 |
| 13 | X | 8682 | 51824 | 325.873 | 816.427 | 11 |
| 14 | X | 8686 | 51747 | 327.078 | 815.214 | 11 |
| 15 | X | 9025 | 48675 | 429.176 | 766.818 | 22 |
| 16 | X | 9113 | 50441 | 455.680 | 794.640 | 22 |
| 17 | X | 8857 | 48197 | 378.579 | 759.288 | 24 |
| 18 | X | 8562 | 48547 | 289.732 | 764.802 | 24 |
| 19 | X | 8958 | 50550 | 408.998 | 796.357 | 22 |
| 20 | X | 8738 | 49924 | 342.739 | 786.495 | 24 |
Cluster likely to be: 24 | 10 matches 
